time,x,y,z
0.949,-0.068,0.061,0.964
0.954,-0.069,0.062,0.961
0.959,-0.07,0.064,0.967
0.964,-0.064,0.067,0.97
0.969,-0.06,0.066,0.975
0.978,-0.056,0.066,0.97
0.98,-0.056,0.07,0.969
0.984,-0.056,0.071,0.972
0.997,-0.056,0.068,0.964
0.998,-0.06,0.07,0.963
0.999,-0.059,0.07,0.966
1.007,-0.058,0.069,0.964
1.016,-0.061,0.068,0.962
1.016,-0.058,0.067,0.968
1.019,-0.054,0.063,0.97
1.024,-0.056,0.058,0.974
1.029,-0.057,0.056,0.977
1.034,-0.059,0.056,0.979
1.04,-0.059,0.055,0.982
1.044,-0.062,0.054,0.979
1.049,-0.066,0.052,0.981
1.057,-0.066,0.05,0.984
1.059,-0.066,0.05,0.979
1.064,-0.067,0.051,0.981
1.069,-0.069,0.052,0.975
1.074,-0.069,0.054,0.978
1.079,-0.071,0.056,0.98
1.084,-0.068,0.058,0.98
1.09,-0.063,0.061,0.979
1.094,-0.059,0.062,0.98
1.099,-0.058,0.064,0.98
1.106,-0.058,0.064,0.977
1.109,-0.057,0.063,0.969
1.114,-0.056,0.066,0.968
1.119,-0.055,0.069,0.969
1.124,-0.06,0.073,0.965
1.129,-0.062,0.076,0.963
1.134,-0.059,0.074,0.965
1.144,-0.061,0.073,0.969
1.145,-0.058,0.071,0.972
1.149,-0.056,0.068,0.973
1.161,-0.06,0.067,0.967
1.162,-0.063,0.067,0.962
1.164,-0.064,0.068,0.963
1.169,-0.062,0.069,0.966
1.174,-0.06,0.071,0.97
1.179,-0.059,0.072,0.969
1.184,-0.062,0.072,0.969
1.189,-0.062,0.07,0.968
1.194,-0.064,0.069,0.965
1.199,-0.068,0.069,0.966
1.206,-0.067,0.07,0.968
1.209,-0.064,0.068,0.968
1.214,-0.067,0.067,0.969
1.222,-0.067,0.066,0.969
1.224,-0.063,0.066,0.973
1.229,-0.062,0.068,0.976
1.234,-0.061,0.07,0.98
1.243,-0.059,0.071,0.984
1.245,-0.063,0.07,0.983
1.251,-0.067,0.067,0.976
1.261,-0.063,0.064,0.972
1.261,-0.063,0.066,0.971
1.264,-0.062,0.07,0.971
1.272,-0.061,0.073,0.968
1.274,-0.063,0.077,0.961
1.279,-0.063,0.075,0.963
1.284,-0.064,0.075,0.962
1.289,-0.063,0.073,0.963
1.295,-0.061,0.073,0.962
1.299,-0.063,0.071,0.957
1.305,-0.068,0.068,0.96
1.309,-0.076,0.064,0.958
1.314,-0.079,0.064,0.959
1.321,-0.084,0.063,0.958
1.324,-0.083,0.062,0.96
1.329,-0.08,0.063,0.963
1.334,-0.078,0.065,0.968
1.339,-0.079,0.065,0.97
1.345,-0.078,0.067,0.975
1.349,-0.077,0.069,0.976
1.354,-0.077,0.072,0.975
1.36,-0.077,0.072,0.971
1.364,-0.072,0.073,0.969
1.374,-0.077,0.075,0.963
1.375,-0.079,0.074,0.964
1.379,-0.08,0.073,0.962
1.384,-0.076,0.071,0.958
1.395,-0.079,0.072,0.955
1.396,-0.082,0.07,0.948
1.399,-0.082,0.068,0.946
1.405,-0.089,0.068,0.941
1.409,-0.085,0.073,0.943
1.414,-0.085,0.077,0.956
1.42,-0.085,0.081,0.956
1.424,-0.088,0.077,0.963
1.429,-0.091,0.078,0.961
1.436,-0.087,0.08,0.963
1.439,-0.085,0.082,0.965
1.445,-0.082,0.085,0.961
1.449,-0.082,0.084,0.96
1.455,-0.082,0.084,0.953
1.459,-0.09,0.082,0.946
1.464,-0.095,0.086,0.951
1.469,-0.094,0.086,0.955
1.474,-0.092,0.084,0.955
1.479,-0.095,0.084,0.959
1.486,-0.096,0.076,0.963
1.489,-0.098,0.073,0.953
1.495,-0.099,0.072,0.959
1.499,-0.104,0.071,0.966
1.504,-0.105,0.071,0.974
1.532,-0.106,0.076,0.978
1.533,-0.106,0.079,0.995
1.533,-0.101,0.08,1.006
1.534,-0.109,0.079,1.015
1.534,-0.106,0.077,1.024
1.545,-0.102,0.076,1.016
1.545,-0.109,0.07,1.004
1.563,-0.106,0.069,0.991
1.564,-0.105,0.071,0.971
1.565,-0.111,0.069,0.964
1.566,-0.119,0.069,0.958
1.57,-0.12,0.073,0.956
1.574,-0.119,0.076,0.961
1.579,-0.116,0.076,0.963
1.585,-0.108,0.083,0.971
1.589,-0.097,0.078,0.979
1.595,-0.096,0.081,0.987
1.602,-0.092,0.083,0.989
1.604,-0.093,0.082,0.984
1.609,-0.089,0.087,0.985
1.614,-0.093,0.085,0.989
1.62,-0.091,0.084,0.995
1.624,-0.095,0.088,1
1.629,-0.096,0.082,1.005
1.635,-0.091,0.075,1.009
1.64,-0.086,0.074,1.012
1.645,-0.088,0.071,1.009
1.651,-0.081,0.064,1.005
1.654,-0.082,0.065,1.003
1.659,-0.078,0.067,1.002
1.664,-0.078,0.07,1
1.673,-0.079,0.068,1
1.675,-0.073,0.075,1.004
1.679,-0.067,0.077,1.005
1.692,-0.063,0.08,1.006
1.693,-0.063,0.078,1.006
1.696,-0.062,0.078,0.999
1.701,-0.063,0.078,0.989
1.704,-0.059,0.074,0.977
1.709,-0.06,0.076,0.969
1.717,-0.067,0.077,0.963
1.719,-0.067,0.078,0.962
1.724,-0.073,0.075,0.963
1.729,-0.071,0.076,0.965
1.734,-0.069,0.078,0.972
1.739,-0.066,0.079,0.982
1.745,-0.065,0.078,0.987
1.75,-0.067,0.075,0.997
1.758,-0.068,0.072,1.007
1.759,-0.068,0.066,1.007
1.767,-0.071,0.062,1.003
1.769,-0.071,0.059,1.002
1.774,-0.075,0.055,0.998
1.779,-0.081,0.053,0.994
1.784,-0.086,0.053,0.989
1.789,-0.086,0.05,0.992
1.794,-0.083,0.053,0.993
1.804,-0.085,0.058,0.986
1.805,-0.086,0.057,0.983
1.809,-0.085,0.062,0.983
1.822,-0.082,0.062,0.986
1.823,-0.078,0.061,0.977
1.825,-0.074,0.061,0.963
1.829,-0.069,0.06,0.948
1.834,-0.068,0.062,0.939
1.839,-0.069,0.063,0.93
1.845,-0.073,0.062,0.919
1.849,-0.073,0.061,0.914
1.855,-0.073,0.066,0.916
1.859,-0.074,0.074,0.919
1.866,-0.07,0.078,0.928
1.869,-0.065,0.081,0.936
1.874,-0.061,0.083,0.948
1.885,-0.056,0.081,0.958
1.886,-0.053,0.079,0.961
1.889,-0.055,0.079,0.961
1.895,-0.056,0.077,0.953
1.899,-0.058,0.074,0.939
1.904,-0.06,0.073,0.928
1.909,-0.063,0.072,0.921
1.915,-0.064,0.073,0.919
1.919,-0.065,0.077,0.92
1.924,-0.066,0.082,0.925
