time,x,y,z
1.004,0.037,0.974,0.018
1.009,0.04,0.973,0.023
1.013,0.044,0.972,0.022
1.018,0.046,0.971,0.024
1.024,0.05,0.975,0.019
1.028,0.054,0.975,0.014
1.033,0.054,0.976,0.012
1.039,0.059,0.976,0.012
1.044,0.063,0.977,0.014
1.048,0.061,0.978,0.014
1.055,0.067,0.978,0.018
1.058,0.068,0.982,0.012
1.063,0.065,0.987,0.008
1.074,0.064,0.984,0.006
1.074,0.065,0.988,-0.002
1.078,0.062,0.985,0.005
1.083,0.059,0.985,0.004
1.088,0.056,0.986,0.012
1.094,0.051,0.982,0.019
1.099,0.053,0.987,0.02
1.109,0.051,0.979,0.015
1.11,0.047,0.981,0.011
1.113,0.046,0.982,0.006
1.118,0.05,0.979,0.004
1.133,0.046,0.987,0.003
1.134,0.041,0.983,-0.007
1.135,0.045,0.989,-0.006
1.14,0.047,0.989,-0.007
1.143,0.041,0.992,0.001
1.15,0.043,0.993,0.006
1.156,0.05,0.998,0.008
1.163,0.048,1,0.008
1.173,0.047,1,0.014
1.174,0.048,1.002,0.007
1.178,0.054,1,0.012
1.183,0.052,1.001,0.008
1.188,0.058,0.995,0
1.193,0.065,0.996,0.003
1.205,0.06,0.995,0.004
1.206,0.069,0.996,-0.002
1.219,0.071,0.997,0.007
1.22,0.074,0.995,0.011
1.221,0.077,0.996,0.007
1.224,0.08,0.993,-0.001
1.228,0.088,0.996,-0.002
1.233,0.084,0.995,-0.003
1.238,0.088,0.999,-0.004
1.243,0.09,0.998,-0.007
1.248,0.092,0.994,-0.004
1.258,0.089,0.994,-0.004
1.259,0.096,0.995,-0.006
1.263,0.094,0.992,-0.003
1.278,0.095,0.992,0
1.279,0.1,0.993,0.003
1.28,0.101,0.993,0
1.283,0.104,0.991,0.001
1.288,0.107,0.988,-0.001
1.293,0.111,0.985,0.002
1.298,0.115,0.984,0.003
1.304,0.116,0.979,-0.002
1.308,0.119,0.976,-0.004
1.313,0.119,0.973,-0.001
1.319,0.12,0.975,0
1.323,0.123,0.974,0.002
1.328,0.123,0.973,0.005
1.333,0.121,0.972,0.001
1.338,0.122,0.973,-0.004
1.343,0.123,0.974,-0.001
1.348,0.122,0.976,-0.005
1.356,0.122,0.976,-0.009
1.358,0.121,0.975,-0.008
1.363,0.12,0.977,-0.009
1.381,0.119,0.974,-0.006
1.382,0.117,0.974,-0.005
1.383,0.115,0.976,-0.005
1.384,0.114,0.979,-0.003
1.389,0.11,0.977,-0.004
1.393,0.111,0.976,-0.007
1.398,0.113,0.978,-0.009
1.403,0.112,0.982,-0.007
1.408,0.112,0.983,-0.005
1.412,0.113,0.986,-0.008
1.418,0.116,0.988,-0.007
1.423,0.12,0.987,-0.005
1.428,0.119,0.988,-0.005
1.435,0.119,0.988,-0.006
1.438,0.123,0.989,-0.006
1.443,0.129,0.994,-0.004
1.448,0.127,0.998,0
1.453,0.128,0.997,0.007
1.458,0.131,0.994,0.008
1.462,0.132,0.993,0.006
1.471,0.133,0.991,0.005
1.473,0.131,0.993,0.009
1.478,0.13,0.992,0.011
1.527,0.133,0.99,0.011
1.528,0.13,0.989,0.007
1.528,0.131,0.993,0.005
1.529,0.134,0.993,0.008
1.53,0.134,0.995,0.007
1.53,0.135,0.996,0.008
1.531,0.133,1.001,0.009
1.531,0.13,1.003,0.012
1.532,0.128,1.004,0.01
1.533,0.126,1.012,0.006
1.533,0.124,1.015,0.003
1.538,0.116,1.016,-0.006
1.542,0.103,1.017,-0.019
1.547,0.089,1.015,-0.016
1.552,0.078,1.009,-0.018
1.557,0.072,1.015,-0.019
1.562,0.062,1.019,-0.02
1.568,0.053,1.016,-0.021
1.572,0.041,1.019,-0.026
1.577,0.018,1.014,-0.028
1.586,0.002,1.005,-0.029
1.587,-0.01,0.995,-0.028
1.592,-0.02,0.981,-0.016
1.597,-0.022,0.961,-0.006
1.605,-0.017,0.955,0.011
1.607,-0.016,0.947,0.023
1.612,-0.018,0.937,0.03
1.617,-0.026,0.929,0.046
1.622,-0.032,0.93,0.061
1.627,-0.031,0.929,0.074
1.638,-0.027,0.94,0.092
1.639,-0.024,0.958,0.114
1.642,-0.012,0.986,0.123
1.654,-0.003,1.009,0.13
1.655,0.005,1.024,0.13
1.657,-0.006,1.027,0.138
1.662,0.003,1.019,0.141
1.667,0.027,1.023,0.14
1.672,0.062,1.046,0.159
1.678,0.074,1.058,0.173
1.686,0.087,1.071,0.182
1.687,0.087,1.059,0.181
1.692,0.073,1.035,0.194
1.702,0.071,1.034,0.226
1.703,0.085,1.047,0.239
1.707,0.098,1.069,0.262
1.712,0.097,1.089,0.282
1.718,0.092,1.083,0.282
1.727,0.079,1.073,0.297
1.738,0.07,1.063,0.309
1.739,0.076,1.052,0.3
1.742,0.065,1.026,0.296
1.763,0.06,1.001,0.279
1.763,0.061,0.979,0.258
1.764,0.064,0.955,0.233
1.764,0.067,0.932,0.233
1.767,0.06,0.921,0.216
1.772,0.055,0.912,0.201
1.777,0.052,0.913,0.188
1.783,0.062,0.92,0.173
1.787,0.067,0.918,0.174
1.792,0.078,0.927,0.173
1.798,0.087,0.938,0.184
1.802,0.082,0.952,0.202
1.807,0.079,0.956,0.214
1.812,0.07,0.95,0.211
1.817,0.04,0.921,0.213
1.822,0.043,0.931,0.205
1.827,0.063,0.952,0.226
1.832,0.053,0.945,0.237
1.837,0.049,0.93,0.23
1.842,0.052,0.912,0.21
1.848,0.049,0.9,0.2
1.852,0.037,0.892,0.199
1.857,0.028,0.884,0.196
1.865,0.021,0.87,0.183
1.867,0.013,0.867,0.177
1.872,0.011,0.865,0.184
1.877,0.031,0.862,0.191
1.884,0.044,0.873,0.192
1.888,0.066,0.891,0.194
1.892,0.08,0.901,0.198
1.915,0.073,0.903,0.202
1.916,0.073,0.91,0.203
1.917,0.07,0.915,0.214
1.917,0.053,0.905,0.219
1.918,0.047,0.903,0.218
1.922,0.054,0.903,0.205
1.926,0.065,0.895,0.195
1.932,0.08,0.896,0.2
1.936,0.088,0.895,0.214
1.942,0.082,0.891,0.227
1.947,0.082,0.893,0.234
1.952,0.089,0.893,0.235
1.956,0.092,0.891,0.235
1.962,0.088,0.892,0.235
1.966,0.084,0.894,0.238
1.971,0.088,0.899,0.247
1.976,0.102,0.907,0.25
1.981,0.11,0.905,0.25
1.986,0.114,0.896,0.251
1.991,0.114,0.891,0.251
2.006,0.108,0.887,0.25
2.007,0.101,0.88,0.251
2.009,0.101,0.878,0.252
2.026,0.102,0.874,0.253
2.027,0.108,0.862,0.259
2.028,0.116,0.856,0.264
2.028,0.118,0.851,0.265
2.031,0.122,0.851,0.272
2.036,0.121,0.851,0.281
2.042,0.118,0.853,0.288
2.047,0.117,0.856,0.294
2.051,0.127,0.866,0.305
2.056,0.139,0.873,0.314
2.062,0.146,0.877,0.317
2.066,0.142,0.868,0.312
2.071,0.144,0.863,0.312
2.079,0.15,0.865,0.317
2.081,0.168,0.868,0.334
2.086,0.186,0.885,0.347
2.091,0.2,0.911,0.357
2.096,0.218,0.931,0.369
2.101,0.225,0.938,0.382
2.106,0.218,0.937,0.38
2.112,0.21,0.921,0.374
2.116,0.201,0.905,0.37
2.121,0.193,0.889,0.371
2.128,0.189,0.878,0.375
2.131,0.185,0.864,0.378
2.136,0.177,0.851,0.393
2.141,0.172,0.849,0.406
2.146,0.175,0.843,0.423
2.151,0.187,0.852,0.438
2.156,0.196,0.858,0.455
2.167,0.207,0.867,0.474
2.168,0.211,0.87,0.485
2.171,0.222,0.873,0.488
2.188,0.228,0.867,0.48
2.188,0.236,0.863,0.463
2.191,0.251,0.859,0.438
2.191,0.257,0.853,0.428
2.201,0.259,0.851,0.421
2.225,0.261,0.852,0.414
2.226,0.267,0.863,0.418
2.227,0.281,0.873,0.418
2.228,0.278,0.878,0.417
2.228,0.27,0.883,0.416
2.229,0.26,0.879,0.415
2.236,0.254,0.871,0.411
2.237,0.252,0.87,0.411
2.241,0.239,0.873,0.405
2.246,0.234,0.888,0.395
2.251,0.228,0.892,0.416
2.256,0.228,0.896,0.461
